Name,Market Cap (GBP$ Billion)
JPMorgan Chase,308.122
Industrial and Commercial Bank of China,247.021
Bank of America,233.719
Wells Fargo,179.085
China Construction Bank,173.771
Agricultural Bank of China,151.638
HSBC Holdings PLC,141.595
Citigroup Inc.,136.674
Bank of China,126.289
China Merchants Bank,111.433
Royal Bank of Canada,95.082
Toronto-Dominion Bank,89.075
Commonwealth Bank,83.36
HDFC Bank,88.481
U.S. Bancorp,70.518
Goldman Sachs,65.755
Banco Santander,63.057
Banco Bradesco,62.388
Morgan Stanley,61.77
Westpac,56.682
Mitsubishi UFJ Financial Group,55.311
Scotiabank,54.71
PNC Financial Services,52.73
Bank of Communications,51.677
BNP Paribas,49.596
Australia and New Zealand Banking Group,45.853
National Australia Bank,43.18
Lloyds Banking Group,42.77
Sumitomo Mitsui Financial Group,41.651
Bank of Montreal,40.205
UBS,38.367
ING Group,37.573
Capital One,36.111
The Bank of New York Mellon,35.576
China Minsheng Bank,32.694
China CITIC Bank,32.209
Banco Bilbao Vizcaya Argentaria,31.265
Mizuho Financial Group,30.872
Intesa Sanpaolo,30.831
Crédit Agricole,29.151
Canadian Imperial Bank of Commerce,29.135
Royal Bank of Scotland,28.366
Barclays,27.789
Credit Suisse,25.692
Nordea,24.723
Standard Chartered,24.539
KBC Bank,22.893
UniCredit,22.459
Société Générale,17.771
Deutsche Bank,13.176
